100.png	[[[452.0, 124.0], [567.0, 131.0], [563.0, 197.0], [447.0, 190.0]], [[68.0, 40.0], [348.0, 43.0], [347.0, 131.0], [67.0, 128.0]]]
239.png	[]
273.png	[]
325.png	[[[290.0, 55.0], [319.0, 55.0], [319.0, 88.0], [290.0, 88.0]]]
412.png	[[[343.0, 314.0], [370.0, 314.0], [370.0, 345.0], [343.0, 345.0]], [[89.0, 53.0], [748.0, 115.0], [726.0, 342.0], [67.0, 280.0]]]
488.png	[[[55.0, 344.0], [302.0, 344.0], [302.0, 482.0], [55.0, 482.0]], [[678.0, 312.0], [1064.0, 327.0], [1056.0, 510.0], [670.0, 495.0]], [[70.0, 218.0], [159.0, 179.0], [195.0, 256.0], [106.0, 296.0]], [[197.0, 181.0], [321.0, 181.0], [321.0, 291.0], [197.0, 291.0]], [[1191.0, 58.0], [1781.0, 58.0], [1781.0, 304.0], [1191.0, 304.0]], [[625.0, 58.0], [901.0, 90.0], [876.0, 293.0], [600.0, 261.0]]]
610.png	[[[1449.0, 365.0], [1548.0, 365.0], [1548.0, 462.0], [1449.0, 462.0]], [[67.0, 350.0], [258.0, 363.0], [252.0, 460.0], [61.0, 446.0]], [[961.0, 314.0], [1336.0, 332.0], [1329.0, 502.0], [954.0, 487.0]], [[1158.0, 65.0], [1748.0, 65.0], [1748.0, 308.0], [1158.0, 308.0]]]
62.png	[[[526.0, 215.0], [602.0, 215.0], [602.0, 264.0], [526.0, 264.0]], [[770.0, 215.0], [786.0, 215.0], [786.0, 244.0], [770.0, 244.0]], [[96.0, 9.0], [703.0, 7.0], [703.0, 191.0], [97.0, 193.0]], [[830.0, 31.0], [857.0, 31.0], [857.0, 62.0], [830.0, 62.0]]]
624.png	[[[754.0, 366.0], [856.0, 311.0], [925.0, 436.0], [823.0, 491.0]], [[575.0, 323.0], [663.0, 313.0], [680.0, 450.0], [591.0, 460.0]], [[46.0, 188.0], [151.0, 188.0], [151.0, 278.0], [46.0, 278.0]], [[158.0, 170.0], [297.0, 189.0], [283.0, 295.0], [144.0, 277.0]], [[1236.0, 66.0], [1736.0, 66.0], [1736.0, 296.0], [1236.0, 296.0]]]
88.png	[[[34.0, 68.0], [426.0, 33.0], [438.0, 153.0], [45.0, 188.0]]]
